Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Rn-Vila Flor;0;0;0;0;0;0;0;0;0;0;0
Rn-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Pb-Agua Branca;0;0;0;0;0;0;0;0;0;0;0
Pb-Aguiar;0;0;0;0;0;0;0;0;0;0;0
Pb-Alagoa Grande;0;0;0;0;0;0;0;0;0;0;0
Pb-Alagoa Nova;1;1;1;0;0;1;1;1;1;1;1
Pb-Alagoinha;0;0;0;0;0;0;0;0;0;0;0
Pb-Alcantil;0;0;0;0;0;0;0;0;0;0;0
Pb-Algodao de Jandaira;0;0;0;0;0;0;0;0;0;0;0
Pb-Alhandra;2;1;1;1;1;0;1;0;0;0;0
Pb-Sao Joao do Rio do Peixe;0;0;0;0;0;0;0;0;0;0;0
Pb-Amparo;0;0;0;0;0;0;0;0;0;0;0
Pb-Aparecida;0;0;0;0;0;0;0;0;0;0;0
Pb-Aracagi;0;0;0;0;0;0;0;0;0;0;0
Pb-Arara;0;0;0;0;0;0;0;0;0;0;0
Pb-Araruna;0;0;0;0;0;0;0;0;0;0;0
Pb-Areia;1;1;0;1;0;0;0;0;0;0;0
Pb-Areia de Baraunas;0;0;0;0;0;0;0;0;0;0;0
Pb-Areial;0;0;0;0;0;0;0;0;0;0;0
Pb-Aroeiras;0;0;0;0;0;0;0;0;0;0;0
Pb-Assuncao;0;0;0;0;0;0;0;0;0;0;0
Pb-Baia da Traicao;0;0;0;0;0;0;0;0;0;0;0
Pb-Bananeiras;0;0;0;0;0;0;0;0;0;0;0
Pb-Barauna;0;0;0;0;0;0;0;0;0;0;0
Pb-Barra de Santana;0;0;0;0;0;0;0;0;0;0;0
Pb-Barra de Santa Rosa;0;0;0;0;0;0;0;0;0;0;0
Pb-Barra de Sao Miguel;0;0;0;0;0;0;0;0;0;0;0
Pb-Bayeux;4;3;2;2;1;1;0;0;3;3;2
Pb-Belem;1;1;0;0;0;0;0;0;0;0;0
Pb-Belem do Brejo do Cruz;0;0;0;0;0;0;0;0;0;0;0
Pb-Bernardino Batista;0;0;0;0;0;0;0;0;0;0;0
Pb-Boa Ventura;0;0;0;0;0;0;0;0;0;0;0
Pb-Boa Vista;0;0;0;0;0;0;0;0;0;0;0
Pb-Bom Jesus;0;0;0;0;0;0;0;0;0;0;0
Pb-Bom Sucesso;0;0;0;0;0;0;0;0;0;0;0
Pb-Bonito de Santa Fe;0;0;0;0;0;0;0;0;0;0;0
Pb-Boqueirao;0;0;0;0;0;0;0;0;0;0;1
Pb-Igaracy;0;0;0;0;0;0;0;0;0;0;0
Pb-Borborema;0;0;0;0;0;0;0;0;0;0;0
Pb-Brejo do Cruz;0;0;0;0;0;0;0;0;0;0;0
Pb-Brejo dos Santos;0;0;0;0;0;0;0;0;0;0;0
Pb-Caapora;0;0;0;0;0;0;0;0;0;0;0
Pb-Cabaceiras;0;0;0;0;0;0;0;0;0;0;0
Pb-Cabedelo;0;0;0;0;0;0;0;1;1;1;0
Pb-Cachoeira dos Indios;0;0;0;0;0;0;0;0;0;0;0
Pb-Cacimba de Areia;0;0;0;0;0;0;0;0;0;0;0
Pb-Cacimba de Dentro;0;0;0;0;0;0;0;0;0;0;0
Pb-Cacimbas;0;0;0;0;0;0;0;0;0;0;0
Pb-Caicara;0;0;0;0;0;0;0;0;0;0;0
Pb-Cajazeiras;5;5;5;4;4;2;3;3;3;2;1
Pb-Cajazeirinhas;0;0;0;0;0;0;0;0;0;0;0
Pb-Caldas Brandao;0;0;1;1;0;0;0;0;0;0;0
Pb-Camalau;0;0;0;0;0;0;0;0;0;0;0
Pb-Campina Grande;6;6;5;3;4;6;6;6;6;10;10
Pb-Capim;0;0;0;0;0;0;0;0;0;0;0
Pb-Caraubas;0;0;0;0;0;0;0;0;0;0;0
Pb-Carrapateira;0;0;0;0;0;0;0;0;0;0;0
Pb-Casserengue;0;0;0;0;0;0;0;0;0;0;0
Pb-Catingueira;0;0;0;0;0;0;0;0;0;0;0
Pb-Catole do Rocha;0;0;0;0;0;0;0;0;0;0;0
Pb-Caturite;0;0;0;0;0;0;0;0;0;0;0
Pb-Conceicao;0;0;0;0;0;0;0;0;0;0;0
Pb-Condado;0;0;0;0;0;1;0;0;0;0;0
Pb-Conde;0;0;0;0;0;0;0;0;0;0;0
Pb-Congo;0;0;0;0;0;0;0;0;0;0;0
Pb-Coremas;0;0;0;0;0;0;0;0;0;0;0
Pb-Coxixola;0;0;0;0;0;0;0;0;0;0;0
Pb-Cruz do Espirito Santo;0;0;0;0;0;0;0;0;0;0;0
Pb-Cubati;0;0;0;0;0;0;0;0;0;0;0
Pb-Cuite;1;1;1;1;1;1;0;0;0;0;0
Pb-Cuitegi;0;0;0;0;0;0;0;0;0;0;0
Pb-Cuite de Mamanguape;0;0;0;0;0;0;0;0;0;0;0
Pb-Curral de Cima;0;0;0;0;0;0;0;0;0;0;0
Pb-Curral Velho;0;0;0;0;0;0;0;0;0;0;0
Pb-Damiao;0;0;0;0;0;0;0;0;0;0;0
Pb-Desterro;0;0;0;0;0;0;0;0;0;0;0
Pb-Vista Serrana;0;0;0;0;0;0;0;0;0;0;0
Pb-Diamante;0;0;1;1;0;0;0;0;0;0;0
Pb-Dona Ines;0;0;0;0;0;0;0;0;0;0;0
Pb-Duas Estradas;0;0;0;0;0;0;0;0;0;0;0
Pb-Emas;0;0;0;0;0;0;0;0;0;0;0
Pb-Esperanca;0;0;0;0;0;0;0;0;0;0;0
Pb-Fagundes;0;0;0;0;0;0;0;0;0;0;0
Pb-Frei Martinho;0;0;0;0;0;0;0;0;0;0;0
Pb-Gado Bravo;0;0;0;0;0;0;0;0;0;0;0
Pb-Guarabira;1;1;1;1;1;1;1;1;1;0;0
Pb-Gurinhem;0;0;0;0;0;0;0;0;0;0;0
Pb-Gurjao;0;0;0;0;0;0;0;0;0;0;0
Pb-Ibiara;0;0;0;0;0;0;0;0;0;0;0
Pb-Imaculada;0;0;0;0;0;0;0;0;0;0;0
Pb-Inga;0;0;0;0;0;0;0;0;0;0;0
Pb-Itabaiana;0;0;0;0;0;0;0;0;0;0;0
Pb-Itaporanga;0;0;0;0;0;0;0;0;0;0;0
Pb-Itapororoca;0;0;0;0;0;0;0;0;0;0;0
Pb-Itatuba;0;0;0;0;0;0;0;0;0;0;0
Pb-Jacarau;0;0;0;0;0;0;0;0;0;0;0
Pb-Jerico;0;0;0;0;0;0;0;0;0;0;0
Pb-Joao Pessoa;11;13;7;7;6;9;8;7;8;9;6
Pb-Juarez Tavora;0;0;0;0;0;0;0;0;0;0;0
Pb-Juazeirinho;1;1;1;1;1;1;0;1;0;0;0
Pb-Junco do Serido;0;0;0;0;0;0;0;0;0;0;0
Pb-Juripiranga;0;0;0;0;0;0;0;0;0;0;0
Pb-Juru;0;0;0;0;0;0;0;0;0;0;0
Pb-Lagoa;0;0;0;0;0;0;0;0;0;0;0
Pb-Lagoa de Dentro;0;0;0;0;0;0;0;0;0;0;0
Pb-Lagoa Seca;0;0;0;0;0;0;0;0;0;0;0
Pb-Lastro;0;0;0;0;0;0;0;0;0;0;0
Pb-Livramento;0;0;0;0;0;0;0;0;0;0;0
Pb-Logradouro;0;0;0;0;0;0;0;0;0;0;0
Pb-Lucena;0;0;0;0;0;0;0;1;1;1;0
Pb-Mae D Agua;0;0;0;0;0;0;0;0;0;0;0
Pb-Malta;0;0;0;0;0;0;0;0;0;0;0
Pb-Mamanguape;1;1;1;1;1;1;0;0;0;0;0
Pb-Manaira;0;0;0;0;0;0;0;0;0;0;0
Pb-Marcacao;0;0;0;0;0;0;0;0;0;0;0
Pb-Mari;1;0;0;0;0;0;0;0;0;0;0
Pb-Marizopolis;0;0;0;0;0;0;0;0;0;0;0
Pb-Massaranduba;0;0;0;0;0;0;0;0;0;0;0
Pb-Mataraca;0;0;0;0;0;0;0;0;0;0;0
Pb-Matinhas;0;0;0;0;0;0;0;0;0;0;0
Pb-Mato Grosso;0;0;0;0;0;0;0;0;0;0;0
Pb-Matureia;0;0;0;0;0;0;0;0;0;0;0
Pb-Mogeiro;0;0;0;0;0;0;0;0;0;0;1
Pb-Montadas;0;0;0;0;0;0;0;0;0;0;0
Pb-Monte Horebe;0;0;0;0;0;0;0;0;0;0;0
Pb-Monteiro;0;0;0;0;0;0;0;0;0;0;0
Pb-Mulungu;0;0;0;0;0;0;0;1;1;1;0
Pb-Natuba;0;0;0;0;0;0;0;0;0;0;0
Pb-Nazarezinho;0;0;0;0;0;0;0;0;0;0;0
Pb-Nova Floresta;0;0;0;0;0;0;0;0;0;0;0
Pb-Nova Olinda;0;0;0;0;0;0;0;0;0;0;0
Pb-Nova Palmeira;0;0;0;0;0;0;0;0;0;0;0
Pb-Olho D Agua;0;0;0;0;0;0;0;0;0;0;0
Pb-Olivedos;0;0;0;0;0;0;0;0;0;0;0
Pb-Ouro Velho;0;0;0;0;0;0;0;0;0;0;0
Pb-Parari;0;0;0;0;0;0;0;0;0;0;0
Pb-Passagem;0;0;0;0;0;0;0;0;0;0;0
Pb-Patos;3;3;3;3;2;2;2;1;1;1;1
Pb-Paulista;0;0;0;0;0;0;0;0;0;0;0
Pb-Pedra Branca;0;0;0;0;0;0;0;0;0;0;0
Pb-Pedra Lavrada;0;0;0;0;0;0;0;0;0;0;0
Pb-Pedras de Fogo;0;0;0;0;0;0;0;0;0;0;0
Pb-Pianco;0;0;0;0;0;0;0;0;0;0;0
Pb-Picui;0;0;0;0;0;0;0;0;0;0;0
Pb-Pilar;0;0;0;0;0;0;0;0;1;0;0
Pb-Piloes;0;0;0;0;0;0;0;0;0;0;0
Pb-Piloezinhos;0;0;1;0;0;0;0;0;0;0;0
Pb-Pirpirituba;0;0;0;0;0;0;0;0;0;0;0
Pb-Pitimbu;0;0;0;0;0;0;0;0;0;0;0
Pb-Pocinhos;0;0;0;0;0;0;0;0;0;0;0
Pb-Poco Dantas;0;0;0;0;0;0;0;0;0;0;0
Pb-Poco de Jose de Moura;0;0;0;0;0;0;0;0;0;0;0
Pb-Pombal;1;1;1;1;1;1;1;0;0;0;0
Pb-Prata;0;0;0;0;0;0;0;0;0;0;0
Pb-Princesa Isabel;0;0;0;0;0;0;0;0;0;0;0
Pb-Puxinana;1;1;1;0;0;0;0;0;0;0;0
Pb-Queimadas;0;0;0;0;0;0;0;0;0;0;0
Pb-Quixaba;0;0;0;0;0;0;0;0;0;0;0
Pb-Remigio;0;0;0;0;0;0;0;0;0;0;0
Pb-Pedro Regis;0;0;0;0;0;0;0;0;0;0;0
Pb-Riachao;0;0;0;0;0;0;0;0;0;0;0
Pb-Riachao do Bacamarte;0;0;0;0;0;0;0;0;0;0;0
Pb-Riachao do Poco;0;0;0;0;0;0;0;0;0;0;0
Pb-Riacho de Santo Antonio;0;0;0;0;0;0;0;0;0;0;0
Pb-Riacho dos Cavalos;0;0;0;0;0;0;0;0;0;0;0
Pb-Rio Tinto;0;1;1;0;0;0;0;0;0;0;0
Pb-Salgadinho;0;0;0;0;0;0;0;0;0;0;0
Pb-Salgado de Sao Felix;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Cecilia;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Cruz;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Helena;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Ines;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Luzia;0;0;0;0;0;0;0;0;0;0;0
Pb-Santana de Mangueira;0;0;0;0;0;0;0;0;0;0;0
Pb-Santana dos Garrotes;0;0;0;0;0;0;0;0;0;0;0
Pb-Joca Claudino;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Rita;2;3;4;1;3;2;1;2;3;3;4
Pb-Santa Teresinha;0;0;0;0;0;0;0;0;0;0;0
Pb-Santo Andre;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Bento;0;0;0;0;1;1;1;1;0;0;0
Pb-Sao Bentinho;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Domingos do Cariri;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Domingos;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Francisco;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Joao do Cariri;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Joao do Tigre;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose da Lagoa Tapada;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose de Caiana;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose de Espinharas;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose dos Ramos;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose de Piranhas;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose de Princesa;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose do Bonfim;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose do Brejo do Cruz;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose do Sabugi;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose dos Cordeiros;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Mamede;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Miguel de Taipu;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Sebastiao de Lagoa de Roca;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Sebastiao do Umbuzeiro;0;0;0;0;0;0;0;0;0;0;0
Pb-Sape;1;0;0;0;0;0;0;0;0;0;0
Pb-Sao Vicente do Serido;0;0;0;0;0;0;0;0;0;0;0
Pb-Serra Branca;0;0;0;0;0;0;0;0;0;0;0
Pb-Serra da Raiz;0;0;0;0;0;0;0;0;0;0;0
Pb-Serra Grande;0;0;0;0;0;0;0;0;0;0;0
Pb-Serra Redonda;0;0;0;0;0;0;0;0;0;0;0
Pb-Serraria;0;0;0;0;0;0;0;0;0;0;0
Pb-Sertaozinho;0;0;0;0;0;0;0;0;0;0;0
Pb-Sobrado;0;0;0;0;0;0;0;0;0;0;0
Pb-Solanea;0;0;0;0;0;0;0;0;0;0;0
Pb-Soledade;0;0;0;0;0;0;0;0;0;0;0
Pb-Sossego;0;0;0;0;0;0;0;0;0;0;0
Pb-Sousa;0;0;0;0;0;0;0;1;0;1;2
Pb-Sume;0;0;0;0;0;0;0;0;0;0;0
Pb-Tacima;0;0;0;0;0;0;0;0;0;0;0
Pb-Taperoa;0;0;0;0;0;0;0;0;0;0;0
Pb-Tavares;0;0;0;0;0;0;0;0;0;0;0
Pb-Teixeira;0;0;0;0;0;0;0;0;0;0;0
Pb-Tenorio;0;0;0;0;0;0;0;0;0;0;0
Pb-Triunfo;0;0;0;0;0;0;0;0;0;0;0
Pb-Uirauna;0;0;0;0;0;0;0;0;0;0;0
Pb-Umbuzeiro;0;0;0;0;0;0;0;0;0;0;0
Pb-Varzea;0;0;0;0;0;0;0;0;0;0;0
Pb-Vieiropolis;0;0;0;0;0;0;0;0;0;0;0
Pb-Zabele;0;0;0;0;0;0;0;0;0;0;0
Pb-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Pe-Abreu e Lima;0;0;0;0;0;0;0;0;0;0;0
Pe-Afogados da Ingazeira;2;3;1;2;2;1;1;1;1;2;1
Pe-Afranio;0;0;0;0;0;0;0;0;0;0;0
Pe-Agrestina;0;0;0;0;0;0;0;1;1;1;1
Pe-Agua Preta;0;0;0;0;0;0;0;0;0;0;0
Pe-Aguas Belas;0;0;0;0;0;0;0;0;0;0;0
Pe-Alagoinha;0;0;0;0;0;0;0;0;0;0;0
Pe-Alianca;0;0;0;0;0;0;0;0;0;0;0
Pe-Altinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Amaraji;1;1;1;1;1;1;1;1;0;0;0
Pe-Angelim;0;0;0;0;0;0;0;0;0;0;0
Pe-Aracoiaba;0;0;0;0;0;0;0;0;0;0;0
Pe-Araripina;1;0;0;0;0;0;0;0;0;0;0
Pe-Arcoverde;0;0;0;0;0;0;0;0;0;1;0
Pe-Barra de Guabiraba;0;0;0;0;0;0;0;0;0;0;0
Pe-Barreiros;0;0;0;0;0;0;0;0;0;0;1
Pe-Belem de Maria;0;0;0;0;0;0;0;0;0;0;0
Pe-Belem de Sao Francisco;0;0;0;0;0;0;0;0;0;0;0
Pe-Belo Jardim;2;2;2;2;3;4;3;3;2;2;3
Pe-Betania;0;0;0;0;0;0;0;0;0;0;0
Pe-Bezerros;1;0;1;1;1;0;0;0;0;1;0
Pe-Bodoco;0;0;0;0;0;0;0;0;0;0;0
Pe-Bom Conselho;0;0;0;0;0;0;0;1;1;0;0
Pe-Bom Jardim;0;0;0;0;0;0;0;0;0;0;0
Pe-Bonito;0;0;0;0;0;0;0;0;0;0;0
Pe-Brejao;0;0;0;0;0;0;0;0;0;0;0
Pe-Brejinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Brejo da Madre de Deus;0;0;0;0;0;0;0;0;0;0;0
Pe-Buenos Aires;0;0;0;0;0;0;0;0;0;0;0
Pe-Buique;0;0;0;0;0;0;0;0;0;0;0
Pe-Cabo de Santo Agostinho;3;3;1;1;1;1;0;0;0;1;0
Pe-Cabrobo;0;0;0;0;0;0;0;0;0;0;0
Pe-Cachoeirinha;1;2;1;2;2;1;1;1;1;1;1
Pe-Caetes;0;0;0;0;0;0;0;0;0;0;0
Pe-Calcado;0;0;0;0;0;0;0;0;0;0;0
Pe-Calumbi;0;0;0;0;0;0;0;0;0;0;0
Pe-Camaragibe;0;0;0;0;0;1;1;1;1;1;1
Pe-Camocim de Sao Felix;0;0;0;0;0;0;0;0;0;0;0
Pe-Camutanga;0;0;0;0;0;0;0;0;0;0;0
Pe-Canhotinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Capoeiras;0;0;0;0;0;0;0;0;0;0;0
Pe-Carnaiba;0;0;0;0;0;0;0;0;0;0;0
Pe-Carnaubeira da Penha;0;0;0;0;0;0;0;0;0;0;0
Pe-Carpina;2;2;1;2;2;2;2;2;2;2;0
Pe-Caruaru;4;3;1;1;1;0;1;2;4;1;0
Pe-Casinhas;1;1;1;0;0;0;0;0;0;0;0
Pe-Catende;0;0;0;0;0;0;0;0;0;0;0
Pe-Cedro;0;0;0;0;0;0;0;0;0;0;0
Pe-Cha de Alegria;0;0;0;0;0;0;0;0;0;0;0
Pe-Cha Grande;0;0;0;0;0;0;0;0;0;0;0
Pe-Condado;0;0;0;0;0;0;0;0;0;0;0
Pe-Correntes;0;0;0;0;0;0;0;0;0;0;0
Pe-Cortes;0;0;0;0;0;0;0;0;0;0;0
Pe-Cumaru;0;0;0;0;0;0;0;0;0;0;0
Pe-Cupira;0;0;0;0;0;0;0;0;0;0;0
Pe-Custodia;0;0;0;0;0;0;0;0;0;0;0
Pe-Dormentes;0;0;0;0;0;0;0;0;0;0;0
Pe-Escada;0;0;0;0;0;0;0;0;0;0;0
Pe-Exu;0;0;0;0;0;0;0;0;0;0;0
Pe-Feira Nova;0;1;1;1;0;0;0;0;0;0;0
Pe-Fernando de Noronha;0;0;0;0;0;0;0;0;0;0;0
Pe-Ferreiros;0;0;0;0;0;0;0;0;0;0;0
Pe-Flores;0;0;0;0;0;0;0;0;0;0;0
Pe-Floresta;0;1;1;1;1;0;1;1;1;0;0
Pe-Frei Miguelinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Gameleira;0;0;0;0;0;0;0;0;0;0;1
Pe-Garanhuns;2;2;1;0;0;1;0;0;2;1;1
Pe-Gloria do Goita;0;0;0;0;0;0;0;0;0;0;0
Pe-Goiana;1;1;0;0;0;0;0;0;0;0;0
Pe-Granito;0;0;0;0;0;0;0;0;0;0;0
Pe-Gravata;0;0;0;0;0;0;0;0;0;0;0
Pe-Iati;0;0;0;0;0;0;0;0;0;0;0
Pe-Ibimirim;0;0;0;0;0;0;0;0;0;0;0
Pe-Ibirajuba;0;0;0;0;0;0;0;0;0;0;0
Pe-Igarassu;2;2;2;2;2;2;4;2;4;3;3
Pe-Iguaracy;0;0;0;0;0;0;0;0;0;0;0
Pe-Inaja;0;0;0;0;0;0;0;0;0;0;0
Pe-Ingazeira;0;0;0;0;0;0;0;0;0;0;0
Pe-Ipojuca;0;0;0;0;0;0;0;0;1;0;0
Pe-Ipubi;0;0;0;0;0;0;0;0;0;0;0
Pe-Itacuruba;0;0;0;0;0;0;0;0;0;0;0
Pe-Itaiba;0;0;0;0;0;0;0;0;0;0;0
Pe-Ilha de Itamaraca;0;0;0;0;0;0;0;0;0;0;0
Pe-Itambe;1;2;0;0;0;0;0;0;0;0;0
Pe-Itapetim;1;1;1;1;0;0;0;0;0;0;0
Pe-Itapissuma;1;1;1;1;1;1;1;1;1;0;0
Pe-Itaquitinga;0;0;0;0;0;0;0;0;0;0;0
Pe-Jaboatao dos Guararapes;5;2;4;3;2;2;2;3;3;3;1
Pe-Jaqueira;0;0;0;0;0;0;0;0;0;0;0
Pe-Jatauba;0;0;0;0;0;0;0;0;0;0;0
Pe-Jatoba;0;0;0;0;0;0;0;0;0;0;0
Pe-Joao Alfredo;0;0;0;0;0;0;0;0;0;0;0
Pe-Joaquim Nabuco;1;1;1;0;1;1;0;0;0;0;1
Pe-Jucati;0;0;0;0;0;0;0;0;0;0;0
Pe-Jupi;0;0;0;0;0;0;0;0;0;0;0
Pe-Jurema;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa do Carro;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa do Itaenga;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa do Ouro;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa dos Gatos;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa Grande;0;0;0;0;0;0;0;0;0;0;0
Pe-Lajedo;1;1;1;0;0;0;0;0;0;0;0
Pe-Limoeiro;0;0;0;0;0;0;0;0;0;0;0
Pe-Macaparana;1;0;1;0;1;0;0;0;0;0;0
Pe-Machados;1;0;0;0;0;0;0;0;0;0;0
Pe-Manari;0;0;0;0;0;0;0;0;0;0;0
Pe-Maraial;0;0;0;0;0;0;0;0;0;0;0
Pe-Mirandiba;0;0;0;0;0;0;0;0;0;0;0
Pe-Moreno;1;1;0;0;0;0;0;1;0;1;2
Pe-Nazare da Mata;1;2;2;1;1;1;1;1;1;1;1
Pe-Olinda;7;7;4;4;4;5;5;5;8;6;5
Pe-Orobo;0;0;0;0;0;0;0;0;0;0;0
Pe-Oroco;0;0;0;0;0;0;0;0;0;0;0
Pe-Ouricuri;0;0;0;0;0;0;0;0;0;0;0
Pe-Palmares;0;1;1;1;0;1;1;1;1;0;0
Pe-Palmeirina;0;0;0;0;0;0;0;0;0;0;0
Pe-Panelas;0;0;0;0;0;0;0;0;0;0;0
Pe-Paranatama;0;0;0;0;0;0;0;0;0;0;0
Pe-Parnamirim;1;1;0;0;1;1;0;0;0;0;0
Pe-Passira;0;0;0;0;0;0;0;0;0;0;0
Pe-Paudalho;1;0;0;0;0;0;0;0;0;0;0
Pe-Paulista;5;4;5;6;5;3;3;2;4;5;4
Pe-Pedra;0;0;0;0;0;0;0;0;0;0;0
Pe-Pesqueira;2;2;2;3;2;2;1;0;0;0;0
Pe-Petrolandia;0;0;0;0;0;0;0;0;0;0;0
Pe-Petrolina;2;2;2;1;1;1;1;2;2;0;0
Pe-Pocao;0;0;0;0;0;0;0;0;0;0;0
Pe-Pombos;0;0;0;0;0;0;0;0;0;0;0
Pe-Primavera;0;0;0;0;0;0;0;0;0;0;0
Pe-Quipapa;0;0;0;0;0;0;0;0;0;0;0
Pe-Quixaba;0;0;0;0;0;0;0;0;0;0;0
Pe-Recife;6;7;12;10;10;9;8;9;5;5;6
Pe-Riacho das Almas;0;0;0;0;0;0;0;0;0;0;0
Pe-Ribeirao;1;1;1;0;0;0;0;0;0;1;0
Pe-Rio Formoso;0;0;0;0;0;0;0;0;0;0;0
Pe-Saire;0;0;0;0;0;0;0;0;0;0;1
Pe-Salgadinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Salgueiro;0;0;0;1;1;1;1;1;1;1;1
Pe-Saloa;0;0;0;0;0;0;0;0;0;0;0
Pe-Sanharo;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Cruz;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Cruz da Baixa Verde;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Cruz do Capibaribe;1;1;1;1;1;1;1;0;0;0;0
Pe-Santa Filomena;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Maria da Boa Vista;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Maria do Cambuca;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Terezinha;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Benedito do Sul;0;1;1;1;0;1;1;1;0;0;0
Pe-Sao Bento do Una;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Caitano;1;1;0;0;0;0;0;0;0;0;0
Pe-Sao Joao;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Joaquim do Monte;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Jose da Coroa Grande;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Jose do Belmonte;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Jose do Egito;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Lourenco da Mata;4;4;3;2;3;3;2;2;0;0;0
Pe-Sao Vicente Ferrer;0;0;0;0;0;0;0;0;0;0;0
Pe-Serra Talhada;1;1;1;1;1;1;1;2;1;1;0
Pe-Serrita;0;0;0;0;0;0;0;0;0;0;0
Pe-Sertania;0;0;0;0;0;0;0;0;0;0;0
Pe-Sirinhaem;0;0;0;0;0;0;0;0;0;0;0
Pe-Moreilandia;0;0;0;0;0;0;0;0;0;0;0
Pe-Solidao;0;0;0;0;0;0;0;0;0;0;0
Pe-Surubim;1;1;0;1;0;0;0;0;0;0;0
Pe-Tabira;0;0;0;0;0;0;0;0;0;0;0
Pe-Tacaimbo;0;0;0;0;0;0;0;0;0;0;0
Pe-Tacaratu;0;0;0;0;0;0;0;0;0;0;0
Pe-Tamandare;0;0;0;0;0;0;0;0;0;0;0
Pe-Taquaritinga do Norte;0;0;0;0;0;0;0;0;0;0;0
Pe-Terezinha;0;0;0;0;0;0;0;0;0;0;0
Pe-Terra Nova;0;0;0;0;0;0;0;0;0;0;0
Pe-Timbauba;1;1;0;0;0;0;0;0;0;0;0
Pe-Toritama;0;0;0;0;0;0;0;1;0;0;0
Pe-Tracunhaem;0;0;0;0;0;0;0;0;0;0;0
Pe-Trindade;0;0;0;0;0;0;0;0;0;0;0
Pe-Triunfo;0;0;0;0;0;0;0;0;0;0;0
Pe-Tupanatinga;0;0;0;0;0;0;0;0;0;0;0
Pe-Tuparetama;0;0;0;0;0;0;0;0;0;0;0
Pe-Venturosa;0;0;0;0;0;0;0;0;0;0;0
Pe-Verdejante;0;0;0;0;0;0;0;0;0;0;0
Pe-Vertente do Lerio;0;0;0;0;0;0;0;0;0;0;0
Pe-Vertentes;0;0;0;0;0;0;0;0;0;0;0
Pe-Vicencia;0;0;0;0;0;0;0;0;0;0;0
Pe-Vitoria de Santo Antao;2;1;1;2;0;1;1;1;1;0;0
Pe-Xexeu;0;0;0;0;1;0;0;0;0;0;0
Pe-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Al-Agua Branca;0;0;0;0;0;0;0;0;0;0;0
Al-Anadia;0;0;0;0;0;0;0;0;0;0;0
Al-Arapiraca;3;4;1;0;1;0;0;0;0;0;0
Al-Atalaia;0;1;0;0;0;0;0;0;0;0;0
Al-Barra de Santo Antonio;0;0;0;0;0;0;0;0;0;0;0
Al-Barra de Sao Miguel;0;0;0;0;0;0;0;0;0;0;0
